source,target,client_id,resource_id,client_name,resource_name,RT__id_token+token,RT__code,RT__token,RT__code+id_token+token,RT__code+id_token,GT__token_exchange,GT__client_credentials,GT__authorization_code,GT__password,password_flow,token_exchange_flow,code_flow,client_credentials_flow,implicit_flow,_count
bionic-docking-prototype,integrated-emergency-response-drone,bionic-docking-prototype,integrated-emergency-response-drone,Bionic Docking Prototype,Integrated Emergency Response Drone,20391,0,6817,0,0,0,0,0,0,0,0,0,0,27208,27208
t-1000,humanoid-vegetation-droid,t-1000,humanoid-vegetation-droid,T-1000,Humanoid Vegetation Droid,0,5784,0,0,0,0,0,0,0,0,0,5784,0,0,5784
c3po,humanoid-vegetation-droid,c3po,humanoid-vegetation-droid,C3PO,Humanoid Vegetation Droid,8398,0,2171,0,0,0,0,0,0,0,0,0,0,10569,10569
self-reliant-bomb-disposal-golem,experimental-emergency-repair-automaton,self-reliant-bomb-disposal-golem,experimental-emergency-repair-automaton,Self-Reliant Bomb Disposal Golem,Experimental Emergency Repair Automaton,0,1662,0,0,0,0,0,0,0,0,0,1662,0,0,1662
sensory-flora-and-fauna-technology,strategic-airplane-control-golem,sensory-flora-and-fauna-technology,strategic-airplane-control-golem,Sensory Flora and Fauna Technology,Strategic Airplane Control Golem,229,0,0,0,0,0,0,0,0,0,0,0,0,229,229
extraterrestial-servant-prototype,automatic-animal-protection-android,extraterrestial-servant-prototype,automatic-animal-protection-android,Extraterrestial Servant Prototype,Automatic Animal Protection Android,0,162,0,0,0,0,0,0,0,0,0,162,0,0,162
supreme-translation-robot,conscious-piloting-juggernaut,supreme-translation-robot,conscious-piloting-juggernaut,Supreme Translation Robot,Conscious Piloting Juggernaut,143,0,327,0,0,0,0,0,0,0,0,0,0,470,470
awesom-o,global-operation-robot,awesom-o,global-operation-robot,Awesom-O,Global Operation Robot,0,0,65,0,0,0,0,0,0,0,0,0,0,65,65
t-1000,megaman,t-1000,megaman,T-1000,MegaMan,0,27,0,0,0,0,0,0,0,0,0,27,0,0,27
generic-engineering-technology,automatic-animal-protection-android,generic-engineering-technology,automatic-animal-protection-android,Generic Engineering Technology,Automatic Animal Protection Android,0,22,0,0,0,0,0,0,0,0,0,22,0,0,22
